gh_username,n_commits,n_pr_merged,n_issues_opened,n_comments,n_lines,score
bkchr,1427,67,56,1306,415315,100.0
gavofyork,1132,7,39,72,415450,99.33978377622344
alvicsam,160,35,2,28,391511,92.95690340811437
rphmeier,652,5,39,221,178722,42.9311229720872
shawntabrizi,434,0,28,92,169606,40.56098228795148
kianenigma,378,14,62,400,144683,34.74681241206501
ggwpez,268,53,96,559,142959,34.35566096889399
bkontur,108,59,16,149,126953,30.26729867257425
gnunicorn,138,0,1,1,115121,27.389016704537244
tomaka,619,1,28,128,106664,25.784821664574608
coderobe,73,0,0,5,106170,25.22180064788903
svyatonik,117,17,2,18,104506,24.874268517168595
athei,205,12,11,110,92557,22.13822343755742
andresilva,379,11,4,35,68008,16.411766309533547
oleg-plakida,8,1,1,3,62621,14.852138827944335
cecton,119,0,0,0,61208,14.593978875451455
seadanda,16,16,3,62,60950,14.492516561707697
thiolliere,314,0,18,85,59565,14.381927380956617
joepetrowski,100,21,24,79,57173,13.67583976066273
acatangiu,106,25,12,160,55340,13.271057282350892
tomusdrw,215,0,1,9,50899,12.222060230210408
altonen,57,3,22,181,49919,11.950269242576718
coriolinus,70,0,1,6,46982,11.189301889498534
muharem,97,16,11,74,45962,11.005105118987084
michalkucharczyk,119,25,8,169,43551,10.48688872215565
dmitry-markin,58,15,21,98,43655,10.443150878964707
KiChjang,135,4,10,101,42429,10.196606939026603
davxy,107,18,5,64,40504,9.71312004911914
pgherveou,62,30,8,123,38647,9.270407733893748
expenses,99,0,0,2,37589,8.981311258168251
Demi-Marie,34,0,0,4,37564,8.929868916854243
pepyakin,353,1,24,46,35239,8.632475289303905
claravanstaden,9,10,0,19,35985,8.549029648094086
Szegoo,60,9,10,55,34483,8.246183606487426
lexnv,63,21,11,20,33536,8.018960177227164
arkpar,325,0,6,68,32242,7.900785029093371
EgorPopelyaev,39,13,1,14,32168,7.665975632450399
sandreim,72,15,39,172,31001,7.488179521918113
jsidorenko,42,2,3,28,29506,7.036458870425752
mrcnski,78,23,27,355,28197,6.891851367192826
skunert,91,20,6,93,28591,6.889599283126083
NikVolf,130,0,1,8,28239,6.789440807526229
franciscoaguirre,22,22,13,172,27417,6.594813331863553
eskimor,149,11,99,379,26401,6.552142265335805
xlc,133,10,53,320,26102,6.4264996805596555
drahnr,126,0,15,10,26380,6.353247683020354
agryaznov,37,0,1,1,26641,6.341987262686642
ordian,235,15,17,123,24994,6.1522195473785155
gilescope,158,7,11,40,24819,6.018872464479301
NachoPal,30,12,12,52,25063,5.993388355303007
liamaharon,77,35,20,254,23196,5.673473887085246
mxinden,140,0,1,13,23118,5.584338770338395
dependabot[bot],956,94,11,51,20221,5.551861347481163
koute,102,6,17,123,22658,5.498522514321477
montekki,45,0,0,0,23003,5.484417356219249
sorpaas,114,0,1,2,21029,5.066715027208732
seunlanlege,32,0,0,20,20983,5.003419611859238
chevdor,198,22,9,58,19340,4.762802208938878
niklasad1,71,7,3,36,19689,4.735658669397616
melekes,18,0,0,10,19738,4.69476556397519
cheme,80,2,4,46,19462,4.689313149918867
tdimitrov,50,11,15,64,19446,4.681134528834381
slumber,36,5,1,17,18627,4.4501181158827645
juangirini,35,13,17,88,18313,4.412543871190275
gpestana,27,14,25,95,16915,4.082317228561641
Ank4n,25,8,16,87,16184,3.896935150646645
marcio-diaz,58,0,0,0,16230,3.8880453451200307
sam0x17,24,6,6,98,14530,3.502109254524615
ruseinov,35,0,5,27,14486,3.470224485369159
alexggh,29,26,8,104,13923,3.3767037312291768
rossbulat,24,7,13,70,13469,3.2445419557335105
gupnik,30,14,9,81,12998,3.1433167034704628
s0me0ne-unkn0wn,34,13,12,166,12807,3.1319377523963956
jimpo,26,0,0,0,12825,3.0580931011553196
koushiro,74,1,0,4,12204,2.947029797442818
stanislav-tkach,61,0,0,0,11929,2.8705774699139353
nazar-pc,50,14,11,90,11160,2.7259699666810095
serban300,38,24,8,74,10197,2.4879602400484555
rakanalh,14,0,1,2,10133,2.4125746891827666
ddorgan,25,0,0,0,10034,2.3957433240523773
dvdplm,20,0,1,1,8909,2.126322951225786
alindima,11,10,10,97,8221,2.001154489411057
al3mart,8,4,1,12,7907,1.8865352634879096
emostov,63,0,12,12,7628,1.862354992455519
cmichi,27,0,1,3,7366,1.7662265620277295
georgepisaltu,7,10,8,50,7025,1.6971231404008476
HarryHong,4,0,0,0,6942,1.6478143524132274
romanb,22,0,0,2,6820,1.6324053561670955
twittner,25,0,0,2,6765,1.6215005280544486
gterzian,14,0,0,2,6351,1.5155340461772062
yjhmelody,56,11,0,28,5890,1.4518830386066477
AndreiEres,11,6,13,10,5938,1.4280583597953216
drskalman,7,4,1,17,5589,1.3380935278659847
s3krit,127,0,1,2,5091,1.2976745454049785
apopiak,64,0,8,19,4921,1.2219334023182244
kigawas,23,0,0,0,4963,1.192182186489155
hirschenberger,23,0,1,16,4895,1.182225604299347
Jpserrat,9,5,0,24,4543,1.0941572642156883
kpp,17,0,2,19,4379,1.0571756732249729
ascjones,53,1,0,0,3992,0.9839236756856709
Doordashcon,20,1,5,30,3963,0.9666181875938616
sergejparity,45,1,0,1,3720,0.9141090696166597
Robbepop,9,2,0,36,3730,0.9039154259461422
octol,23,0,0,0,3690,0.8904029215456882
dvc94ch,10,0,0,0,3704,0.8844763845279456
gabreal,68,0,0,0,3463,0.8685932653203946
hzy1919,11,0,0,0,3423,0.818573292890645
mattrutherford,13,0,0,0,3280,0.786095870033414
zdave-parity,2,2,3,10,3202,0.7659456441730882
pscott,17,0,0,0,3161,0.7607302915974745
TriplEight,113,0,0,1,2837,0.7525516705129892
vstakhov,26,2,2,16,2840,0.6988572451322389
vivekvpandya,5,0,0,5,2860,0.6826185337036235
BradleyOlson64,19,10,3,25,2724,0.674795504840203
viniul,3,0,0,0,2741,0.6512078875095862
tonyalaribe,7,0,1,5,2699,0.6463481271550372
girazoki,17,3,7,34,2354,0.5866086340161889
joao-paulo-parity,58,0,1,1,2182,0.5586353792924427
the-right-joyce,7,2,10,10,2210,0.5376554382496328
HCastano,24,0,1,0,2103,0.5153716590629197
alexeuler,2,0,0,0,2154,0.5113416138908546
achimcc,2,0,0,0,2089,0.4959326176447231
xgreenx,3,0,0,0,2036,0.48407954360923744
vstam1,7,2,1,4,1992,0.4795753754757529
samelamin,4,1,0,12,1988,0.4782715373318494
eagr,8,8,1,97,1811,0.4740044306790746
0xmovses,5,7,6,40,1885,0.4709226314298482
pmikolajczyk41,12,2,1,5,1931,0.4690261395841706
Lederstrumpf,9,1,4,5,1935,0.4686705473631059
4meta5,23,0,0,2,1907,0.46843348588239625
Mr-Leshiy,3,0,0,3,1899,0.4526688974152002
Morganamilo,22,15,3,22,1764,0.4512465285309419
JoshOrndorff,59,6,7,18,1591,0.4316889563723905
PatricioNapoli,2,0,0,0,1664,0.39518148834309436
notlesh,9,0,0,2,1604,0.38664727503754465
pepoviola,55,18,0,39,1313,0.3742015473002846
wirednkod,8,1,1,10,1501,0.36543027251402516
